Connector,Pin,Net,Function
J_CM5,1,5V_SYS,CM5_IO_HARNESS
J_CM5,2,GND,CM5_IO_HARNESS
J_CM5,3,I2C_SCL,CM5_IO_HARNESS
J_CM5,4,I2C_SDA,CM5_IO_HARNESS
J_CM5,5,CM5_TX,CM5_IO_HARNESS
J_CM5,6,CM5_RX,CM5_IO_HARNESS
J_CM5,7,CM5_HEARTBEAT,CM5_IO_HARNESS
J_CM5,8,SAFETY_ACK,CM5_IO_HARNESS
J_CM5,9,SPI_SCK,CM5_IO_HARNESS
J_CM5,10,SPI_MISO,CM5_IO_HARNESS
J_CM5,11,SPI_MOSI,CM5_IO_HARNESS
J_CM5,12,SPI_CS0,CM5_IO_HARNESS
J_CM5,13,GPIO_AUX0,CM5_IO_HARNESS
J_CM5,14,GPIO_AUX1,CM5_IO_HARNESS
J_CM5,15,3V3_SYS,CM5_IO_HARNESS
J_CM5,16,GND,CM5_IO_HARNESS
J_MCU,1,5V_SYS,STM32G0B1_CORE
J_MCU,2,GND,STM32G0B1_CORE
J_MCU,3,3V3_SYS,STM32G0B1_CORE
J_MCU,4,CM5_TX,STM32G0B1_CORE
J_MCU,5,CM5_RX,STM32G0B1_CORE
J_MCU,6,CM5_HEARTBEAT,STM32G0B1_CORE
J_MCU,7,SAFETY_ACK,STM32G0B1_CORE
J_MCU,8,I2C_SCL,STM32G0B1_CORE
J_MCU,9,I2C_SDA,STM32G0B1_CORE
J_MCU,10,SPI_SCK,STM32G0B1_CORE
J_MCU,11,SPI_MISO,STM32G0B1_CORE
J_MCU,12,SPI_MOSI,STM32G0B1_CORE
J_MCU,13,SPI_CS0,STM32G0B1_CORE
J_MCU,14,CAN_TX,STM32G0B1_CORE
J_MCU,15,CAN_RX,STM32G0B1_CORE
J_MCU,16,RS485_TX,STM32G0B1_CORE
J_MCU,17,RS485_RX,STM32G0B1_CORE
J_MCU,18,RS485_DE,STM32G0B1_CORE
J_MCU,19,SAFETY_ENABLE,STM32G0B1_CORE
J_MCU,20,TEMP_DATA,STM32G0B1_CORE
J_MCU,21,SWDIO,STM32G0B1_CORE
J_MCU,22,SWCLK,STM32G0B1_CORE
J_MCU,23,NRST,STM32G0B1_CORE
J_MCU,24,GND,STM32G0B1_CORE
J_PH,1,5V_SYS,ATLAS_EZO_PH_ISO
J_PH,2,GND,ATLAS_EZO_PH_ISO
J_PH,3,I2C_SCL,ATLAS_EZO_PH_ISO
J_PH,4,I2C_SDA,ATLAS_EZO_PH_ISO
J_PH,5,PH_OFF,ATLAS_EZO_PH_ISO
J_ORP,1,5V_SYS,ATLAS_EZO_ORP_ISO
J_ORP,2,GND,ATLAS_EZO_ORP_ISO
J_ORP,3,I2C_SCL,ATLAS_EZO_ORP_ISO
J_ORP,4,I2C_SDA,ATLAS_EZO_ORP_ISO
J_ORP,5,ORP_OFF,ATLAS_EZO_ORP_ISO
J_EC,1,5V_SYS,ATLAS_EZO_EC_ISO
J_EC,2,GND,ATLAS_EZO_EC_ISO
J_EC,3,I2C_SCL,ATLAS_EZO_EC_ISO
J_EC,4,I2C_SDA,ATLAS_EZO_EC_ISO
J_EC,5,EC_OFF,ATLAS_EZO_EC_ISO
J_TEMP,1,3V3_SYS,DIGITAL_TEMP
J_TEMP,2,GND,DIGITAL_TEMP
J_TEMP,3,TEMP_DATA,DIGITAL_TEMP
J_TEMP,4,TEMP_AUX,DIGITAL_TEMP
J_PWR,1,24V_IN,POWER_HARNESS
J_PWR,2,GND,POWER_HARNESS
J_PWR,3,5V_SYS,POWER_HARNESS
J_PWR,4,GND,POWER_HARNESS
J_PWR,5,12V_SYS,POWER_HARNESS
J_PWR,6,GND,POWER_HARNESS
J_CAN,1,5V_SYS,ISO_CAN_FD_MODULE
J_CAN,2,GND,ISO_CAN_FD_MODULE
J_CAN,3,CAN_TX,ISO_CAN_FD_MODULE
J_CAN,4,CAN_RX,ISO_CAN_FD_MODULE
J_CAN,5,CAN_H,ISO_CAN_FD_MODULE
J_CAN,6,CAN_L,ISO_CAN_FD_MODULE
J_485,1,5V_SYS,ISO_RS485_MODULE
J_485,2,GND,ISO_RS485_MODULE
J_485,3,RS485_TX,ISO_RS485_MODULE
J_485,4,RS485_RX,ISO_RS485_MODULE
J_485,5,RS485_DE,ISO_RS485_MODULE
J_485,6,RS485_A,ISO_RS485_MODULE
J_485,7,RS485_B,ISO_RS485_MODULE
J_AO,1,24V_IN,MODBUS_0_10V_8CH
J_AO,2,GND,MODBUS_0_10V_8CH
J_AO,3,RS485_A,MODBUS_0_10V_8CH
J_AO,4,RS485_B,MODBUS_0_10V_8CH
J_PWRMOD,1,24V_IN,BRMC_POWER_MODULE_BUS
J_PWRMOD,2,GND,BRMC_POWER_MODULE_BUS
J_PWRMOD,3,CAN_H,BRMC_POWER_MODULE_BUS
J_PWRMOD,4,CAN_L,BRMC_POWER_MODULE_BUS
J_PWRMOD,5,RS485_A,BRMC_POWER_MODULE_BUS
J_PWRMOD,6,RS485_B,BRMC_POWER_MODULE_BUS
J_PWRMOD,7,SAFETY_ENABLE,BRMC_POWER_MODULE_BUS
J_PWRMOD,8,GND,BRMC_POWER_MODULE_BUS
J_SAFE,1,SAFETY_ENABLE,SAFETY_RELAY_DRIVE
J_SAFE,2,GND,SAFETY_RELAY_DRIVE
J_SAFE,3,24V_IN,SAFETY_RELAY_DRIVE
J_SAFE,4,GND,SAFETY_RELAY_DRIVE
J_SVC,1,3V3_SYS,SERVICE_DEBUG
J_SVC,2,GND,SERVICE_DEBUG
J_SVC,3,SWDIO,SERVICE_DEBUG
J_SVC,4,SWCLK,SERVICE_DEBUG
J_SVC,5,NRST,SERVICE_DEBUG
J_SVC,6,CM5_TX,SERVICE_DEBUG
J_SVC,7,CM5_RX,SERVICE_DEBUG
J_SVC,8,GND,SERVICE_DEBUG
