Record,Source,Destination,Connector_MPNs,Pin_or_group,Function,Nominal_voltage_V,Expected_continuous_A,Calculated_worst_case_A,Design_derated_allowance_A,Proposed_conductor,Conductors,Connector_contact_rating_A,Max_one_way_length_m,Warm_loop_resistance_ohm,Warm_voltage_drop_V,Voltage_drop_percent,Fuse_eFuse_relationship,Routing_separation,Status,Evidence_or_review_dependency
HARN-01,Phoenix Contact M12 panel inlet 1419742,PSM-01 protected power module,Panel 1419742; PSM end 43025-0600/43030-0007,24V/GND,24 V system input,24,1.47,2.5,2.5,"20 AWG stranded Cu, UL1007 or equivalent, 105 C",2,7.0,0.5,0.0405,0.101,0.42,PSM input eFuse target 2.35 A; Mean Well source 2.5 A,twist pair; separate from raw analog,FROZEN_FOR_REVIEW,20 AWG selected from drop and terminal range; 18 AWG optional only for handling margin
HARN-02A,PSM-01,Backplane J_PWR,43025-0600/43030-0007 to 43045-0600,1=24V; 2=GND,protected 24 V rail,24,0.41,0.68,0.85,"20 AWG stranded Cu, UL1007 or equivalent, 105 C",2,7.0,0.35,0.0283,0.024,0.10,1.0 A protected branch,route along lower wall; away from analog,FROZEN_FOR_REVIEW,Interface ceiling set by J_AO/J_PWRMOD/J_SAFE allocations
HARN-02B,PSM-01,Backplane J_PWR,43025-0600/43030-0007 to 43045-0600,3=5V; 4=GND,5V_SYS,5,0.305,0.85,1.0,"22 AWG stranded Cu, UL1007 or equivalent, 105 C",2,7.0,0.35,0.0451,0.045,0.90,1.25 A protected branch,route away from pH/ORP probe leads,FROZEN_FOR_REVIEW,Endpoint interface allocations total 0.95 A
HARN-02C,PSM-01,Backplane J_PWR,43025-0600/43030-0007 to 43045-0600,5=12V; 6=GND,reserved 12V_SYS,12,0.0,0.2,0.25,"22 AWG stranded Cu, UL1007 or equivalent, 105 C",2,7.0,0.35,0.0451,0.011,0.09,0.50 A protected branch,route with power bundle,FROZEN_FOR_REVIEW,Reserved; no present load permitted without ECO
HARN-03,CM5IO J17,Waveshare display DSI,CM5IO 22-pin FFC to display 15-pin FFC adapter,MIPI pairs/grounds,MIPI DSI signal,0,0,0,0,signal cable; see construction,controlled-impedance 22-to-15 FFC assembly,signal only,0.2,N/A,N/A,N/A,not applicable,100 ohm differential construction; >=5 mm bend radius; no fold,PROCUREMENT_SELECTION_FOR_REVIEW,Exact cable MPN and contact-side orientation require reviewer/procurement confirmation
HARN-04,PSM-01 dedicated 5 V output,Waveshare display power input,locking 2-pin harness; endpoint housing per display build drawing,+5V/GND,display power,5,0.52,0.8,1.0,"22 AWG stranded Cu, UL1007 or equivalent, 105 C",2,3.0,0.5,0.0644,0.064,1.29,dedicated 1.25 A current-limited branch,do not parallel raw pH/ORP or DSI pairs,FROZEN_WIRE_REQUIREMENT,Connector at display must be confirmed against purchased display revision
HARN-CM5-SIG,Backplane J_CM5,CM5IO J8,90142-0016/90119-2121 to 90142-0040/90119-2121,16 conductors; exact map in schedule,3.3 V GPIO and four returns; no power,3.3,0,0,0,signal cable; see construction,16x 26 AWG; active/return organization,3 A/contact,0.3,N/A,N/A,N/A,no 5 V or 3V3 contacts fitted at J8,separate from 24 V; continuity/short test before mating,FROZEN_FOR_REVIEW,First article must verify unshrouded J8 orientation
HARN-MCU-PWR,Backplane J_MCU,Safety MCU daughtercard,90142-0024; 90119-2110 power / -2121 signal,1=5V; 2/24=GND; 3=3V3 return source,MCU module power/3V3 ownership,5,0.1,0.2,0.25,"22 AWG stranded Cu, UL1007 or equivalent, 105 C",4,3.0,0.3,0.0387,0.010,0.19,shared 5V_SYS; daughtercard 3V3 output limited 0.10 A,bundle signals with returns; keep SWD short,FROZEN_FOR_REVIEW,Daughtercard schematic is a separate approval object
HARN-PH,Backplane J_PH,Atlas isolated pH carrier,22-01-3057/08-50-0032 to 22-23-2051,1=5V;2=GND;3=SCL;4=SDA;5=OFF,pH carrier power/data,5,0.015,0.05,0.1,"22 AWG stranded Cu, UL1007 or equivalent, 105 C",5,4.0,0.3,0.0387,0.004,0.08,shared 5V_SYS; OFF provides controlled disable,"separate from 24 V, relay, CAN/485; label both ends",FROZEN_FOR_REVIEW,Atlas carrier nominal current; allowance includes isolation/startup margin
HARN-ORP,Backplane J_ORP,Atlas isolated ORP carrier,22-01-3057/08-50-0032 to 22-23-2051,1=5V;2=GND;3=SCL;4=SDA;5=OFF,ORP carrier power/data,5,0.015,0.05,0.1,"22 AWG stranded Cu, UL1007 or equivalent, 105 C",5,4.0,0.3,0.0387,0.004,0.08,shared 5V_SYS; OFF provides controlled disable,"separate from 24 V, relay, CAN/485; label both ends",FROZEN_FOR_REVIEW,Atlas carrier nominal current; allowance includes isolation/startup margin
