Reference,Assembly_solid_index,Intersection_volume_mm3,Nominal_minimum_distance_mm,Result,Scope_note
H1,2,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,3,0.000000,73.700000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,4,0.000000,81.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,5,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,6,0.000000,19.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,7,0.000000,20.426698,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,8,0.000000,19.461244,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,9,0.000000,21.601157,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,10,0.000000,67.015499,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,11,0.000000,114.721531,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,12,0.000000,111.587924,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,13,0.000000,121.598188,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,14,0.000000,168.299833,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,15,0.000000,162.159859,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,16,0.000000,108.329616,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,17,0.000000,104.990293,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,18,0.000000,101.573826,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,19,0.000000,101.360687,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H1,20,0.000000,6.083584,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,2,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,3,0.000000,73.700000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,4,0.000000,81.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,5,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,6,0.000000,19.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,7,0.000000,20.426698,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,8,0.000000,19.461244,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,9,0.000000,21.601157,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,10,0.000000,46.868006,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,11,0.000000,82.789264,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,12,0.000000,57.115988,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,13,0.000000,57.591570,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,14,0.000000,109.543177,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,15,0.000000,106.401707,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
