Ref,Interface,Board_MPN,Circuits,Pitch_mm,Orientation,Mating,Rating,Footprint,Pin1,Status,Evidence
J_CM5,CM5IO J8 signal-only,Molex 90130-1216,2x8 / 16,2.54,vertical top-entry,90142-0016 + 90119-2121; CM5IO end 90142-0040 + 90119-2121,350 V; 3 A/contact; -55..125 C header,embedded C-Grid III drawing envelope; 1.00 mm drill / 1.80 mm pad,square pad; silk triangle; circuit 1 at left/lower row in top view,DESIGN_FROZEN_FOR_REVIEW,Molex 901301216/901420016/901192121; CM5IO rev2 J8
J_MCU,safety MCU daughtercard,Molex 90130-1224,2x12 / 24,2.54,vertical top-entry,90142-0024; 90119-2110 power / 90119-2121 signal,350 V; 3 A/contact; -55..125 C header,embedded C-Grid III drawing envelope; 1.00 mm drill / 1.80 mm pad,square pad; silk triangle; manufacturer column numbering,DESIGN_FROZEN_FOR_REVIEW,Molex 901301224/901420024; pinout CSV
J_PH,Atlas EZO pH isolated carrier,Molex 22-23-2051,1x5,2.54,vertical top-entry,22-01-3057 + 08-50-0032,500 V; 4 A/contact; -40..80 C,embedded KK 254 envelope; 1.00 mm drill / 1.80 mm pad,square pad; PH keyed label,DESIGN_FROZEN_FOR_REVIEW,Molex 22232051; Atlas isolated-carrier data
J_ORP,Atlas EZO ORP isolated carrier,Molex 22-23-2051,1x5,2.54,vertical top-entry,22-01-3057 + 08-50-0032,500 V; 4 A/contact; -40..80 C,embedded KK 254 envelope; 1.00 mm drill / 1.80 mm pad,square pad; ORP keyed label,DESIGN_FROZEN_FOR_REVIEW,Molex 22232051; Atlas isolated-carrier data
J_EC,Atlas EZO EC isolated carrier,Molex 22-23-2051,1x5,2.54,vertical top-entry,22-01-3057 + 08-50-0032,500 V; 4 A/contact; -40..80 C,embedded KK 254 envelope; 1.00 mm drill / 1.80 mm pad,square pad; EC keyed label,DESIGN_FROZEN_FOR_REVIEW,Molex 22232051; Atlas isolated-carrier data
J_TEMP,digital temperature endpoint,Molex 22-23-2041,1x4,2.54,vertical top-entry,22-01-3047 + 08-50-0032,500 V; 4 A/contact; -40..80 C,embedded KK 254 envelope; 1.00 mm drill / 1.80 mm pad,square pad; silk triangle,DESIGN_FROZEN_FOR_REVIEW,Molex 22-23-2041 family drawing; pinout CSV
J_PWR,protected 24/5/12 V source,Molex 43045-0600,2x3 / 6,3.00,right-angle toward lower edge,43025-0600 + 43030-0007,600 V; header 8.5 A/contact; terminal/wire limits apply,Molex/KiCad 430450201-SD geometry; 1.02 mm drills; 3.00 mm locator,square pad; polarization latch faces board interior,DESIGN_FROZEN_FOR_REVIEW,Molex 430450600/430250600; KiCad Connector_Molex footprint
J_CAN,isolated CAN FD daughtercard,Molex 22-23-2061,1x6,2.54,vertical top-entry,22-01-3067 + 08-50-0032,500 V; 4 A/contact; -40..80 C,embedded KK 254 envelope; 1.00 mm drill / 1.80 mm pad,square pad; silk triangle,DESIGN_FROZEN_FOR_REVIEW,Molex KK 254 family; pinout CSV
J_485,isolated RS-485 daughtercard,Molex 22-23-2071,1x7,2.54,vertical top-entry,22-01-3077 + 08-50-0032,500 V; 4 A/contact; -40..80 C,embedded KK 254 envelope; 1.00 mm drill / 1.80 mm pad,square pad; silk triangle,DESIGN_FROZEN_FOR_REVIEW,Molex KK 254 family; pinout CSV
J_AO,8-channel 0-10 V module,Molex 43045-0400,2x2 / 4,3.00,right-angle toward lower edge,43025-0400 + 43030-0007,600 V; header 8.5 A/contact; terminal/wire limits apply,Molex/KiCad 430450201-SD geometry; 1.02 mm drills; 3.00 mm locator,square pad; polarization latch faces board interior,DESIGN_FROZEN_FOR_REVIEW,Molex 43045/43025; KiCad Connector_Molex footprint
J_PWRMOD,power-module field bus,Molex 43045-0800,2x4 / 8,3.00,right-angle toward lower edge,43025-0800 + 43030-0007,600 V; header 8.5 A/contact; terminal/wire limits apply,Molex/KiCad 430450201-SD geometry; 1.02 mm drills; two 3.00 mm locators,square pad; polarization latch faces board interior,DESIGN_FROZEN_FOR_REVIEW,Molex 43045/43025; KiCad Connector_Molex footprint
J_SAFE,24 V safety-relay driver,Molex 22-23-2041,1x4,2.54,vertical top-entry,22-01-3047 + 08-50-0032,500 V; 4 A/contact; -40..80 C,embedded KK 254 envelope; 1.00 mm drill / 1.80 mm pad,square pad; silk triangle,DESIGN_FROZEN_FOR_REVIEW,Molex KK 254 family; pinout CSV
J_SVC,fixture-only SWD/UART,Molex 22-23-2081,1x8,2.54,vertical top-entry,22-01-3087 + 08-50-0032,500 V; 4 A/contact; -40..80 C,embedded KK 254 envelope; 1.00 mm drill / 1.80 mm pad,square pad; silk triangle,DESIGN_FROZEN_FOR_REVIEW,Molex KK 254 family; pinout CSV
